DatGeracaoConjuntoDados;AnoLeilao;DatLeilao;NumLeilao;DscNumeroLeilaoCCEE;DscTipoLeilao;NomEmpreendimento;CodCEG;IdeNucleoCEG;SigTipoGeracao;DscFonteEnergia;DscDetalhamentoFonteEnergia;MdaPotenciaInstaladaMW;MdaGarantiaFisicaSEL;VlrEnergiaVendida;VlrPrecoTeto;VlrPrecoLeilao;VlrDesagio;VlrInvestimentoPrevisto;MdaDuracaoContrato;SigUFPrincipal;VlrCotacaoDolar;VlrPrecoTetoDolar;VlrPrecoDolar;VlrInvestimentoDolar;DscEmpresaVencedora
2022-10-01;2007;2007-07-26;2007/2;4° LEN;A-3;Termoparaíba;UTE.PE.PB.029638-4;29638;UTE;Óleo;Óleo combustível;170,80;123,90;123,00;141,00;135,92;3,60;162782000,00;15;PB;1,92;71,13;70,50;84430497,93;Termomanaus Ltda.
2022-10-01;2007;2007-07-26;2007/2;4° LEN;A-3;Global II;UTE.PE.BA.029639-2;29639;UTE;Óleo;Óleo combustível;148,00;109,30;109,00;141,00;135,90;3,61;212000000,00;15;BA;1,92;71,13;70,49;109958506,22;Global Participações em Energia S.A.
2022-10-01;2007;2007-07-26;2007/2;4° LEN;A-3;Tocantinópolis;UTE.PE.MA.029705-4;29705;UTE;Óleo;Óleo combustível;165,00;120,80;120,00;141,00;135,90;3,61;325545380,00;15;TO;1,92;71,13;70,49;168851338,17;Empresa Geradora de Energia do Norte S.A.
2022-10-01;2007;2007-07-26;2007/2;4° LEN;A-3;Monte Pascoal;UTE.PE.PE.029708-9;29708;UTE;Óleo;Óleo combustível;137,60;104,80;104,00;141,00;132,80;5,81;204310000,00;15;BA;1,92;71,13;68,88;105969917,01;Empresa Termelétrica Monte Pascoal S.A.
2022-10-01;2007;2007-07-26;2007/2;4° LEN;A-3;Nova Olinda;UTE.PE.MA.029668-6;29668;UTE;Óleo;Óleo combustível;165,00;120,80;120,00;141,00;136,00;3,54;325545380,00;15;MA;1,92;71,13;70,54;168851338,17;Empresa Geradora de Energia do Norte S.A.
2022-10-01;2007;2007-07-26;2007/2;4° LEN;A-3;Viana;UTE.PE.ES.029664-3;29664;UTE;Óleo;Óleo combustível;170,76;121,50;121,00;141,00;133,21;5,52;386434720,00;15;ES;1,92;71,13;69,09;200432946,06;Empresa Termelétrica Viana S.A.
2022-10-01;2007;2007-07-26;2007/2;4° LEN;A-3;Itapebi;UTE.PE.PE.029681-3;29681;UTE;Óleo;Óleo combustível;137,60;103,70;103,00;141,00;133,60;5,24;203025000,00;15;BA;1,92;71,13;69,29;105303423,24;Empresa Termelétrica Itapebi S.A.
2022-10-01;2007;2007-07-26;2007/2;4° LEN;A-3;Global I;UTE.PE.BA.029653-8;29653;UTE;Óleo;Óleo combustível;140,00;105,30;105,00;141,00;135,90;3,61;170000000,00;15;BA;1,92;71,13;70,49;88174273,86;Global Participações em Energia S.A.
2022-10-01;2007;2007-07-26;2007/2;4° LEN;A-3;Maracanaú I;UTE.PE.CE.029654-6;29654;UTE;Óleo;Óleo combustível;162,33;122,90;119,00;141,00;133,13;5,58;355200000,00;15;CE;1,92;71,13;69,05;184232365,15;Maracanaú Geradora de Energia S.A.
2022-10-01;2007;2007-10-16;2007/1;5° LEN;A-5;Maracanaú II;UTE.PE.CE.029677-5;29677;UTE;Óleo;Óleo combustível;70,00;53,00;51,00;141,00;130,95;7,12;183000000,00;15;CE;1,81;75,56;72,03;100660066,01;Thermes Participações S.A.
